                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.7103,                 4.9257,                 5.2471,                0.00139,                 0.0221,                0.00079,                0.00025,                 4.0271,                 3.9836,                 4.5823,               0.093727,              0.0007273,              0.0007273
                      2,                 4.6947,                 4.4108,                 4.4412,                0.00139,                 0.0221,                0.00079,                0.00025,                 4.4532,                 4.1198,                 4.1833,               0.086456,              0.0014555,              0.0014555
                      3,                 4.8598,                 4.3312,                 4.2694,                0.00045,                0.02762,                0.00026,                  9e-05,                 4.6028,                 4.1102,                 4.0466,               0.079074,              0.0020739,              0.0020739
                      4,                 4.6231,                 4.0003,                 3.9221,                0.00036,                 0.0221,                0.00026,                 0.0001,                 4.6784,                 4.1348,                 3.9606,               0.071582,              0.0025825,              0.0025825
                      5,                 4.1007,                 3.9672,                 3.5991,                0.00072,                 0.0442,                0.00073,                0.00025,                 4.5916,                  4.371,                 3.7395,               0.063981,              0.0029812,              0.0029812
                      6,                 3.6942,                 3.7574,                 3.4845,                0.00085,                0.00552,                0.00044,                0.00013,                 4.6419,                 4.4712,                 8.6181,                0.05627,                0.00327,                0.00327
                      7,                 3.6988,                 3.6026,                  3.483,                 0.0009,                0.05525,                0.00048,                0.00016,                  4.828,                 10.357,                 19.184,               0.048449,              0.0034491,              0.0034491
                      8,                  3.468,                 3.4607,                 3.2525,                0.00154,                 0.0884,                0.00482,                0.00139,                 4.1905,                 4.2009,                 4.2216,               0.040518,              0.0035183,              0.0035183
                      9,                  3.464,                 3.3127,                  3.184,                0.00967,                0.05525,                0.00348,                0.00128,                 4.1863,                 61.567,                 8.1248,               0.032478,              0.0034776,              0.0034776
                     10,                 3.4633,                 3.3114,                 3.1923,                0.00632,                0.10497,                0.00348,                0.00122,                 3.9854,                    inf,                 9.2281,               0.024327,              0.0033271,              0.0033271
                     11,                 3.2959,                 3.1745,                 3.1602,                0.00656,                0.39779,                0.00571,                0.00185,                 3.5109,                 72.347,                 3.4701,               0.016067,              0.0030668,              0.0030668
                     12,                 3.4168,                 3.0522,                 3.1191,                0.01002,                0.13812,                0.00665,                0.00224,                 3.5909,                 33.942,                 3.5894,              0.0076966,              0.0026966,              0.0026966
                     13,                 3.3256,                 3.0575,                 3.1265,                0.02648,                0.09945,                0.00979,                0.00356,                 3.6708,                 13.174,                 3.5505,              0.0021521,              0.0021521,              0.0021521
                     14,                 3.0993,                 2.9584,                 3.0269,                0.06082,                 0.0884,                0.01759,                0.00577,                 3.7431,                 5.6161,                 3.5281,              0.0014656,              0.0014656,              0.0014656
                     15,                 3.1364,                  2.908,                 3.0609,                0.10006,                0.11602,                 0.0298,                0.01026,                 3.7446,                 3.7336,                 3.4154,             0.00077907,             0.00077907,             0.00077907
                      1,                  4.765,                 3.6354,                 5.2305,                0.00139,                 0.0221,                0.00076,                0.00026,                 4.1395,                 2.9207,                 4.5983,                0.09368,              0.0006797,              0.0006797
                      2,                 4.7709,                 3.1999,                  4.444,                0.00139,                 0.0221,                0.00076,                0.00026,                 4.6524,                 3.0189,                 4.2104,               0.086361,              0.0013605,              0.0013605
                      3,                 4.8816,                 3.1489,                 4.2285,                0.00139,                 0.0221,                0.00076,                0.00026,                 4.7421,                 3.0741,                 4.0155,               0.078939,              0.0019389,              0.0019389
                      4,                 4.6984,                 2.9146,                  3.903,                0.00063,                0.03867,                0.00041,                0.00014,                 4.7562,                 3.0381,                 3.8089,               0.071415,              0.0024149,              0.0024149
                      5,                 4.4012,                 2.7203,                 3.7055,                0.00081,                0.04972,                0.00043,                 0.0001,                 4.8207,                 3.0062,                  3.693,               0.063789,              0.0027886,              0.0027886
                      6,                 4.1403,                 2.7146,                 3.7199,                0.00051,                 0.0221,                0.00211,                0.00063,                 4.8457,                 3.0706,                  3.721,                0.05606,              0.0030598,              0.0030598
                      7,                   4.07,                  2.641,                 3.8636,                0.00054,                0.03315,                0.00651,                 0.0039,                 4.8373,                 2.9729,                 3.8048,               0.048229,              0.0032287,              0.0032287
                      8,                 3.7337,                 2.5092,                  3.425,                0.08198,                0.01657,                0.00665,                0.00345,                 4.5358,                 4.0082,                  3.878,               0.040295,              0.0032951,              0.0032951
                      9,                 3.7145,                 2.4403,                 3.4016,                0.01428,                0.01657,                0.00146,                 0.0006,                 4.6807,                 10.284,                 4.9022,               0.032259,              0.0032592,              0.0032592
                     10,                  3.812,                 2.4844,                 3.3562,                0.00481,                0.00552,                 0.0005,                0.00015,                 4.8078,                 4.6815,                  4.905,               0.024121,              0.0031209,              0.0031209
                     11,                 3.5099,                 2.4527,                 3.3371,                0.00255,                 0.1547,                0.00159,                0.00054,                 4.0922,                  3.101,                 4.1561,                0.01588,              0.0028802,              0.0028802
                     12,                 3.5501,                 2.3426,                 3.1793,                0.00439,                0.24862,                0.01466,                0.00363,                 4.4567,                  2.923,                  3.588,              0.0075371,              0.0025371,              0.0025371
                     13,                 3.3917,                 2.2688,                 3.1594,                0.21548,                0.02762,                0.03286,                0.00993,                 4.2851,                 2.6839,                 3.2971,              0.0020306,              0.0020306,              0.0020306
                     14,                 3.4357,                 2.2268,                 3.1015,                0.19532,                0.07735,                0.04239,                0.01612,                 4.0598,                 2.4571,                 3.1997,              0.0013907,              0.0013907,              0.0013907
                     15,                 3.4041,                 2.2374,                 3.1701,                0.20228,                 0.1105,                0.05087,                0.01845,                 3.8916,                 2.3604,                 3.1686,             0.00075074,             0.00075074,             0.00075074
                      1,                 4.8086,                 5.0617,                 5.2685,                0.00139,                 0.0221,                0.00081,                0.00023,                 4.0072,                 4.1609,                 4.6077,               0.093729,              0.0007294,              0.0007294
                      2,                  4.824,                 4.5331,                 4.4733,                0.00139,                 0.0221,                0.00081,                0.00023,                 4.4981,                 3.9649,                  4.225,                0.08646,              0.0014598,              0.0014598
                      3,                 5.0628,                 4.4816,                 4.2634,                0.00139,                 0.0221,                0.00081,                0.00023,                 4.6956,                 3.9364,                  4.141,                0.07908,                0.00208,                0.00208
                      4,                 4.6708,                 4.2266,                 3.8474,                0.00139,                 0.0221,                0.00081,                0.00023,                 4.9331,                 4.0537,                 4.0991,                0.07159,              0.0025901,              0.0025901
                      5,                  4.152,                  4.039,                 3.5983,                0.00072,                 0.0442,                0.00086,                0.00029,                 4.8543,                 4.0047,                 3.8906,                0.06399,                0.00299,                0.00299
                      6,                 4.0373,                 3.9575,                 3.5348,                 0.0009,                0.05525,                0.00093,                0.00035,                 4.6865,                 4.2836,                  3.879,                0.05628,              0.0032798,              0.0032798
