fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.0,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.0,0.0106,0.01003,0.93767,0.00051,2.90948,0.83678,7.06942,0.5,1.5,0.01512,0.67731,0.38317,0.0,0.09718,0.50099,0.0,0.0,0.0,0.48934,0.0,1.0,0.0,0.0
0.0,0.00836,0.00832,0.937,0.00043,2.50646,0.95,9.55993,0.51925,1.49788,0.01844,0.77133,0.44206,0.0,0.1,0.5,0.0,0.0,0.0,0.43817,0.0,0.99117,0.0,0.0
0.0,0.00864,0.00891,0.937,0.00047,2.44936,0.95,10.31358,0.54029,1.56926,0.01731,0.78157,0.40139,0.0,0.09389,0.5,0.0,0.0,0.0,0.4106,0.0,1.0,0.0,0.0
0.01222,0.01039,0.00891,0.93374,0.00042,2.55035,0.95,9.45492,0.54029,1.99635,0.01633,0.8882,0.32327,0.0,0.09389,0.5,0.0,0.0,0.0,0.4106,0.0,0.75922,0.0,0.0
0.0217,0.00971,0.01141,0.96202,0.00044,2.55035,0.82255,9.63649,0.39906,1.99635,0.01308,0.9,0.26062,0.0,0.10134,0.47605,0.0,0.0,0.0,0.42667,0.0,0.75922,0.0,0.0
0.03125,0.01042,0.00913,0.93374,0.00042,2.55831,0.95,9.47653,0.55092,2.01478,0.01598,0.88291,0.32525,0.0,0.09452,0.5,0.0,0.0,0.0,0.40239,0.0,0.73207,0.0,0.0
0.02394,0.00971,0.01226,0.96202,0.00052,3.02367,0.95,9.04361,0.39906,2.19891,0.01271,0.79584,0.26062,0.0,0.10113,0.40572,0.0,0.0,0.0,0.42667,0.0,0.87495,0.0,0.0
0.0229,0.00984,0.01351,0.98,0.00044,3.19825,0.72136,7.51367,0.45542,1.99635,0.01308,0.9,0.26429,0.0,0.10134,0.50744,0.0,0.0,0.0,0.36713,0.0,0.75922,0.0,0.0
0.02066,0.01109,0.01215,0.98,0.00041,3.19825,0.72136,8.02508,0.45542,1.84462,0.01306,0.84343,0.29678,0.0,0.10044,0.50744,0.0,0.0,0.0,0.34256,0.0,0.86434,0.0,0.0
0.02413,0.01042,0.00913,0.85543,0.00042,2.5481,0.95,9.47653,0.5389,2.10456,0.0182,0.9,0.3599,0.0,0.0918,0.44358,0.0,0.0,0.0,0.38844,0.0,0.58649,0.0,0.0
0.02445,0.00758,0.01018,0.96266,0.00052,2.69343,0.95,10.1229,0.39906,2.07108,0.013,0.76396,0.24582,0.0,0.10113,0.4015,0.0,0.0,0.0,0.36842,0.0,0.87495,0.0,0.0
0.01701,0.00839,0.00732,0.95761,0.00045,2.50865,0.95,9.47653,0.53213,2.22226,0.01595,0.9,0.28328,0.0,0.09375,0.57011,0.0,0.0,0.0,0.33727,0.0,0.73207,0.0,0.0
0.01568,0.00878,0.01131,0.97585,0.00048,2.642,0.95,7.72678,0.39906,2.40491,0.01223,0.52189,0.23519,0.0,0.10113,0.3109,0.0,0.0,0.0,0.33452,0.0,0.78568,0.0,0.0
0.01352,0.0075,0.00901,0.97244,0.00056,2.95061,0.91236,9.90765,0.40199,2.32924,0.013,0.7305,0.25396,0.0,0.10261,0.41587,0.0,0.0,0.0,0.35807,0.0,0.9545,0.0,0.0
0.01662,0.00736,0.00913,0.93863,0.0005,2.36355,0.95,9.34612,0.59153,1.93152,0.01711,0.88291,0.21431,0.0,0.09452,0.60148,0.0,0.0,0.0,0.51659,0.0,0.8642,0.0,0.0
0.02181,0.0079,0.01191,0.94262,0.00049,3.15275,0.95,9.65737,0.38616,2.43366,0.01506,0.79386,0.26616,0.0,0.1029,0.44136,0.0,0.0,0.0,0.4256,0.0,0.87495,0.0,0.0
0.03132,0.01031,0.00937,0.93382,0.00043,2.58765,0.95,9.11888,0.56355,2.07342,0.01594,0.85407,0.33572,0.0,0.09809,0.47826,0.0,0.0,0.0,0.40239,0.0,0.7288,0.0,0.0
0.02775,0.01041,0.00914,0.93356,0.00042,2.55755,0.94899,9.46853,0.55002,2.01482,0.016,0.88291,0.32579,0.0,0.09452,0.5,0.0,0.0,0.0,0.40211,0.0,0.73207,0.0,0.0
