                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0571,                 2.9043,                 1.6724,                0.37306,                0.39227,                0.27792,                0.11297,                 1.8293,                 2.3901,                 1.4994,                0.00014,                0.00014,                0.00014
                      2,                 1.7996,                 2.3514,                  1.504,                0.14598,                 0.1547,                0.04828,                0.02088,                 2.0262,                 6.7677,                 1.8208,             0.00029883,             0.00029883,             0.00029883
                      3,                 1.7958,                 2.0176,                 1.4559,                0.03896,                0.16022,                0.02034,                0.00899,                 2.1813,                 5.9952,                 2.0148,             0.00045641,             0.00045641,             0.00045641
                      4,                 1.7561,                 1.7749,                 1.5303,                0.10288,                0.20442,                0.07697,                0.03697,                 2.1605,                 5.3331,                 1.9671,             0.00061274,             0.00061274,             0.00061274
                      5,                 1.8476,                 1.8659,                 1.6373,                0.12018,                0.22652,                0.06196,                0.02257,                 2.2702,                 5.6799,                 1.9275,             0.00076781,             0.00076781,             0.00076781
                      6,                 1.8796,                 1.9344,                 1.6022,                0.12018,                0.22652,                0.06196,                0.02257,                    nan,                    nan,                    nan,             0.00092164,             0.00092164,             0.00092164
                      7,                 1.9828,                 2.0846,                 1.6577,                 0.0005,                0.02762,                0.00023,                  8e-05,                    nan,                    nan,                    nan,              0.0010742,              0.0010742,              0.0010742
                      8,                 1.7846,                 1.8949,                 1.5987,                 0.0005,                0.02762,                0.00023,                  8e-05,                    nan,                    nan,                    nan,              0.0012256,              0.0012256,              0.0012256
                      9,                 1.8728,                 1.8484,                 1.5623,                 0.0005,                0.02762,                0.00023,                  8e-05,                    nan,                    nan,                    nan,              0.0013756,              0.0013756,              0.0013756
                     10,                 2.1353,                 1.9554,                 1.7758,                 0.0005,                0.02762,                0.00023,                  8e-05,                    nan,                    nan,                    nan,              0.0015245,              0.0015245,              0.0015245
                     11,                 1.9197,                 1.9243,                 1.6127,                0.00105,                0.06077,                0.00053,                0.00025,                    nan,                    nan,                    nan,               0.001672,               0.001672,               0.001672
                     12,                 1.8942,                 1.8942,                 1.6041,                0.00105,                0.06077,                0.00053,                0.00025,                    nan,                    nan,                    nan,              0.0018184,              0.0018184,              0.0018184
                     13,                 2.0589,                 1.9324,                 1.7051,                0.00661,                0.12707,                 0.0029,                0.00115,                 3.6153,                    nan,                 109.68,              0.0019063,              0.0019063,              0.0019063
                     14,                 2.0255,                 1.9691,                  1.711,                 0.0137,                0.43094,                0.00862,                0.00312,                    nan,                    nan,                    nan,              0.0018984,              0.0018984,              0.0018984
                     15,                 1.9342,                 1.8743,                 1.5994,                0.00101,                0.04972,                0.00053,                0.00015,                    nan,                    nan,                    nan,              0.0018906,              0.0018906,              0.0018906
                     16,                 1.9124,                 1.7745,                 1.5888,                 0.0767,                0.03315,                0.00871,                0.00285,                  3.269,                    nan,                 2.9238,              0.0018828,              0.0018828,              0.0018828
                     17,                 1.9655,                 1.8123,                 1.6632,                0.31923,                0.30387,                0.19048,                0.04484,                 3.4049,                 3.8706,                 3.2871,               0.001875,               0.001875,               0.001875
                     18,                 1.9527,                 1.7304,                 1.5794,                0.10346,                0.14917,                0.03315,                0.01135,                 3.2128,                 26.363,                 3.3885,              0.0018672,              0.0018672,              0.0018672
                     19,                 1.9529,                 1.7403,                   1.59,                0.01389,                0.32044,                0.00834,                0.00314,                 2.8214,                    inf,                 3.0227,              0.0018594,              0.0018594,              0.0018594
                     20,                 1.9396,                 1.6248,                 1.5785,                0.03719,                0.37569,                0.02337,                0.00811,                 2.4843,                    inf,                 2.3933,              0.0018516,              0.0018516,              0.0018516
                     21,                 1.8386,                  1.704,                 1.6281,                0.03984,                 0.1989,                0.02124,                0.00786,                 2.4702,                 15.286,                 2.1954,              0.0018438,              0.0018438,              0.0018438
                     22,                 1.7805,                 1.6063,                 1.5672,                0.00631,                0.07735,                0.00291,                0.00116,                 3.2894,                 36.173,                 2.4907,               0.001836,               0.001836,               0.001836
                     23,                 1.8614,                 1.7183,                 1.6456,                0.38102,                0.18366,                0.20355,                0.07127,                 2.3838,                 4.4499,                 1.9298,              0.0018281,              0.0018281,              0.0018281
                     24,                 1.7257,                 1.4756,                 1.4754,                0.12522,                0.29834,                0.10754,                0.03883,                 2.5017,                  4.168,                 2.1106,              0.0018203,              0.0018203,              0.0018203
                     25,                 1.7858,                 1.6659,                 1.6022,                0.16757,                0.18785,                0.08817,                0.02961,                  2.705,                 3.5081,                 2.1826,              0.0018125,              0.0018125,              0.0018125
                     26,                 1.7921,                 1.5561,                 1.5111,                0.60073,                0.43646,                0.45332,                 0.1589,                 2.4259,                 2.6305,                 2.1373,              0.0018047,              0.0018047,              0.0018047
                     27,                 1.7624,                 1.5266,                 1.4795,                0.44824,                0.37569,                0.34942,                0.13315,                 2.2963,                 2.4022,                 2.0682,              0.0017969,              0.0017969,              0.0017969
                     28,                 1.8266,                 1.5894,                 1.6083,                0.44724,                0.29282,                0.33523,                0.14026,                 2.4044,                 2.4093,                 2.2331,              0.0017891,              0.0017891,              0.0017891
                     29,                 1.7457,                 1.5371,                 1.4916,                0.47558,                0.41086,                  0.413,                0.14338,                 2.3165,                 2.5172,                 2.0635,              0.0017813,              0.0017813,              0.0017813
                     30,                 1.7392,                 1.5003,                 1.5519,                0.37959,                0.27381,                0.25155,                0.10369,                 2.4056,                 2.2792,                 2.1259,              0.0017735,              0.0017735,              0.0017735
                     31,                 1.8047,                 1.5609,                 1.5934,                 0.3386,                0.42143,                0.32605,                0.12693,                 2.5448,                 2.1962,                 2.3041,              0.0017656,              0.0017656,              0.0017656
                     32,                 1.7107,                 1.3628,                 1.4343,                0.47808,                0.38674,                0.36492,                0.12695,                 2.4565,                 2.5683,                 2.1637,              0.0017578,              0.0017578,              0.0017578
                     33,                 1.6925,                 1.4507,                 1.4659,                0.27487,                0.28729,                0.19921,                0.08918,                 2.3936,                 2.9602,                  2.104,                0.00175,                0.00175,                0.00175
                     34,                 1.6621,                 1.3512,                 1.3971,                 0.3393,                0.34807,                0.25544,                0.10224,                   2.41,                 2.2287,                 2.1895,              0.0017422,              0.0017422,              0.0017422
                     35,                   1.66,                 1.4034,                 1.3874,                0.30807,                 0.3616,                0.27022,                0.11208,                  2.293,                 2.3859,                 2.1462,              0.0017344,              0.0017344,              0.0017344
                     36,                 1.7343,                 1.3613,                 1.5366,                 0.3357,                0.28199,                0.24243,                0.09805,                 2.3386,                 2.3693,                 2.2062,              0.0017266,              0.0017266,              0.0017266
                     37,                 1.7093,                  1.362,                 1.5026,                0.40511,                0.47406,                0.35404,                0.13569,                 2.2181,                 2.5376,                 2.0197,              0.0017188,              0.0017188,              0.0017188
                     38,                 1.6998,                 1.4223,                 1.4277,                0.27158,                0.39779,                0.21166,                 0.0858,                  2.362,                 2.7826,                 2.1343,               0.001711,               0.001711,               0.001711
                     39,                  1.644,                 1.2783,                 1.3794,                 0.1646,                0.37569,                0.11769,                0.05361,                 2.3679,                 2.8895,                 2.1198,              0.0017032,              0.0017032,              0.0017032
                     40,                 1.6346,                 1.2268,                 1.3871,                 0.5096,                0.43094,                 0.3843,                0.16931,                 2.1801,                 2.3603,                 1.9247,              0.0016953,              0.0016953,              0.0016953
                     41,                 1.5578,                 1.2591,                 1.4159,                0.38746,                0.41436,                 0.3158,                 0.1338,                 2.1241,                 2.4718,                 1.9546,              0.0016875,              0.0016875,              0.0016875
                     42,                 1.6343,                 1.2145,                 1.3864,                0.48372,                0.43646,                0.41078,                0.18622,                 2.0404,                 2.2598,                 1.8155,              0.0016797,              0.0016797,              0.0016797
                     43,                 1.6203,                  1.371,                 1.4053,                0.62839,                0.46961,                0.45889,                0.16966,                 2.1434,                 2.2906,                 1.9023,              0.0016719,              0.0016719,              0.0016719
                     44,                 1.6352,                 1.2631,                 1.4144,                0.53915,                0.45304,                0.43978,                0.17031,                 2.1043,                 2.4144,                 1.8891,              0.0016641,              0.0016641,              0.0016641
                     45,                 1.5254,                 1.2617,                 1.4114,                0.47499,                0.40331,                 0.3621,                0.15184,                 2.0933,                 2.6047,                  1.971,              0.0016563,              0.0016563,              0.0016563
                     46,                 1.5559,                 1.2761,                 1.5188,                0.45607,                0.38913,                0.36086,                0.15361,                  2.291,                 2.4431,                 2.1518,              0.0016485,              0.0016485,              0.0016485
                     47,                 1.5094,                  1.148,                 1.4447,                0.44251,                0.37569,                0.33573,                0.13418,                 2.4652,                 3.1599,                 2.2867,              0.0016407,              0.0016407,              0.0016407
                     48,                 1.6163,                 1.1761,                 1.4117,                0.48911,                0.40728,                0.38298,                0.16312,                 2.3171,                 2.6932,                 2.1925,              0.0016328,              0.0016328,              0.0016328
                     49,                 1.5923,                  1.152,                 1.3806,                0.51507,                0.51642,                0.46117,                0.20143,                 2.2498,                 2.3461,                 2.1205,               0.001625,               0.001625,               0.001625
                     50,                 1.5825,                 1.1711,                 1.4496,                0.52229,                0.48619,                0.47505,                0.20581,                 2.1332,                 2.3119,                  2.018,              0.0016172,              0.0016172,              0.0016172
                     51,                 1.6444,                 1.2496,                 1.4621,                0.58075,                0.34807,                0.39193,                0.17136,                 2.0465,                 2.6624,                 1.9454,              0.0016094,              0.0016094,              0.0016094
                     52,                 1.5097,                 1.1363,                 1.3618,                0.50534,                0.40075,                0.41731,                  0.193,                 1.9977,                 2.2761,                 1.8312,              0.0016016,              0.0016016,              0.0016016
                     53,                 1.4742,                 1.1255,                 1.3156,                0.59942,                0.52486,                0.52001,                0.20988,                 1.9881,                  2.117,                 1.8305,              0.0015938,              0.0015938,              0.0015938
                     54,                 1.4845,                 1.1045,                  1.303,                 0.6199,                0.35142,                0.44349,                0.18991,                 2.0051,                 2.4995,                  1.852,               0.001586,               0.001586,               0.001586
                     55,                 1.5085,                 1.0837,                 1.3385,                 0.4964,                0.36464,                0.39512,                0.18921,                   1.95,                 2.3017,                 1.8302,              0.0015782,              0.0015782,              0.0015782
                     56,                 1.4692,                 1.1355,                 1.3885,                0.52855,                0.37017,                0.38257,                0.17372,                 2.0255,                 2.2554,                 1.8652,              0.0015704,              0.0015704,              0.0015704
                     57,                 1.5186,                 1.1078,                 1.3679,                0.63101,                0.33702,                0.38194,                0.16712,                 2.0443,                 2.4662,                 1.8675,              0.0015625,              0.0015625,              0.0015625
                     58,                 1.5065,                  1.036,                  1.346,                0.58953,                0.33702,                0.37726,                0.17356,                 1.9912,                 2.6006,                 1.8426,              0.0015547,              0.0015547,              0.0015547
                     59,                 1.5255,                 1.2008,                 1.4606,                0.61762,                0.30939,                0.36695,                0.15842,                 2.1876,                 2.6238,                 2.0637,              0.0015469,              0.0015469,              0.0015469
                     60,                 1.4865,                 0.9677,                 1.2655,                0.59429,                0.36464,                0.41591,                0.18139,                 2.2883,                  2.219,                 2.0589,              0.0015391,              0.0015391,              0.0015391
                     61,                 1.5123,                 1.1217,                  1.393,                0.44787,                0.43094,                0.36931,                0.17322,                 2.3606,                 2.4814,                 2.0915,              0.0015313,              0.0015313,              0.0015313
                     62,                 1.4633,                0.99317,                 1.3373,                0.40441,                0.30939,                0.30021,                0.14788,                 2.4122,                 2.4367,                 2.2406,              0.0015235,              0.0015235,              0.0015235
                     63,                 1.5446,                 1.0538,                 1.3811,                0.60641,                0.34254,                0.39258,                 0.1662,                 2.2961,                 2.5543,                 2.1879,              0.0015157,              0.0015157,              0.0015157
                     64,                  1.426,                 1.0766,                 1.3957,                0.58244,                0.29834,                0.31394,                0.13877,                 2.1761,                 2.7005,                 2.0329,              0.0015079,              0.0015079,              0.0015079
                     65,                 1.4014,                0.97921,                 1.2951,                0.49284,                0.30387,                0.31738,                0.15066,                 2.1411,                 2.6817,                 1.9154,                 0.0015,                 0.0015,                 0.0015
                     66,                 1.4358,                0.98467,                 1.3551,                0.50381,                0.35912,                0.35397,                0.15079,                 2.1667,                 2.6561,                 1.9158,              0.0014922,              0.0014922,              0.0014922
                     67,                 1.3699,                0.94613,                  1.241,                0.62139,                0.33149,                0.39323,                0.15737,                  2.282,                 2.8582,                 2.0141,              0.0014844,              0.0014844,              0.0014844
