                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4667,                 3.9627,                   1.42,                      0,                      0,                      0,                      0,                 1.6219,                  3.778,                 1.1709,                  4e-05,                  4e-05,                  4e-05
                      2,                 2.5888,                  4.032,                 1.3859,                0.00056,                0.02778,                0.00029,                  3e-05,                 1.6017,                 3.7501,                 1.1357,             9.6906e-05,             9.6906e-05,             9.6906e-05
                      3,                 2.3281,                 3.7735,                 1.3002,                0.00611,                0.30556,                0.00484,                0.00245,                   1.59,                 3.6799,                 1.0789,              0.0001501,              0.0001501,              0.0001501
                      4,                 2.1844,                 3.6234,                 1.1986,                0.01833,                0.91667,                0.02947,                0.01488,                 1.4933,                  3.455,                0.97252,             0.00019958,             0.00019958,             0.00019958
                      5,                 2.0356,                 2.9317,                 1.1361,                   0.02,                      1,                0.06578,                 0.0272,                 1.5453,                 3.4024,                0.97657,             0.00024535,             0.00024535,             0.00024535
                      6,                 1.9222,                 2.2659,                 1.0524,                   0.02,                      1,                0.36328,                0.14464,                 1.6019,                 3.1358,                0.96016,             0.00028741,             0.00028741,             0.00028741
                      7,                 1.7952,                 1.6835,                 1.0615,                   0.02,                      1,                0.77587,                0.44813,                 1.4552,                 2.9806,                0.93261,             0.00032575,             0.00032575,             0.00032575
                      8,                 1.6348,                 1.5566,                 1.0565,                   0.02,                      1,                0.94175,                0.54103,                 1.3715,                 2.9134,                0.93319,             0.00036038,             0.00036038,             0.00036038
                      9,                 1.6875,                 1.4382,                 1.0685,                   0.02,                      1,                0.95304,                0.51666,                 1.3815,                 2.8811,                0.94653,              0.0003913,              0.0003913,              0.0003913
                     10,                 1.6034,                 1.2809,                  1.025,                   0.02,                      1,                0.95362,                0.49399,                 1.3969,                  2.875,                0.94487,             0.00041851,             0.00041851,             0.00041851
                     11,                 1.5822,                 1.3618,                 1.0177,                   0.02,                      1,                0.67482,                0.35941,                 1.4342,                 2.9529,                0.95215,               0.000442,               0.000442,               0.000442
                     12,                 1.6063,                 1.3652,                 1.0452,                   0.02,                      1,                0.23854,                0.12972,                 1.3986,                 2.9804,                 0.9489,             0.00046178,             0.00046178,             0.00046178
                     13,                 1.5676,                 1.4215,                 1.0585,                   0.02,                      1,                0.22108,                0.11933,                 1.2978,                  2.956,                0.94466,             0.00047785,             0.00047785,             0.00047785
                     14,                  1.479,                 1.3479,                0.97397,                   0.02,                      1,                0.34885,                0.17094,                  1.385,                  2.844,                0.97678,             0.00049021,             0.00049021,             0.00049021
                     15,                 1.4262,                 1.1547,                 1.0145,                   0.02,                      1,                0.34885,                0.17094,                  1.385,                  2.844,                0.97678,             0.00049885,             0.00049885,             0.00049885
                     16,                  1.582,                 1.1234,                 1.0237,                   0.02,                      1,                0.44183,                0.21592,                 1.3129,                 2.6092,                0.96418,             0.00050378,             0.00050378,             0.00050378
                     17,                 1.4295,                  1.089,                 1.0319,                0.58194,                0.80556,                0.59644,                  0.335,                 1.2253,                 2.3056,                 0.9325,               0.000505,               0.000505,               0.000505
                     18,                 1.3642,                 1.0666,                0.97187,                0.58194,                0.80556,                0.59644,                  0.335,                 1.2253,                 2.3056,                 0.9325,             0.00050251,             0.00050251,             0.00050251
                     19,                 1.4975,                 1.1583,                0.97183,                0.85731,                0.61111,                0.88547,                0.54392,                 1.2115,                 2.1134,                0.92809,              0.0004963,              0.0004963,              0.0004963
                     20,                  1.515,                 1.1024,                 0.9789,                      1,                0.57228,                0.98554,                0.57925,                 1.2277,                 2.0841,                0.93225,             0.00048638,             0.00048638,             0.00048638
                     21,                  1.439,                  1.021,                0.99665,                      1,                0.57228,                0.98554,                0.57925,                 1.2277,                 2.0841,                0.93225,             0.00047275,             0.00047275,             0.00047275
                     22,                 1.3369,                 1.0212,                0.98522,                      1,                0.63655,                0.97494,                0.56458,                 1.2596,                 2.1286,                0.94516,             0.00045541,             0.00045541,             0.00045541
                     23,                 1.3602,                 1.0391,                 1.0226,                      1,                0.63655,                0.97494,                0.56458,                 1.2596,                 2.1286,                0.94516,             0.00043435,             0.00043435,             0.00043435
                     24,                 1.4922,                0.98302,                 1.0738,                      1,                0.74238,                0.99446,                0.52731,                 1.3739,                  2.085,                 0.9802,             0.00040958,             0.00040958,             0.00040958
                     25,                 1.3617,                0.95601,                 1.0187,                      1,                0.74238,                0.99446,                0.52731,                 1.3739,                  2.085,                 0.9802,              0.0003811,              0.0003811,              0.0003811
                     26,                  1.386,                0.94316,                 1.0414,                      1,                0.86222,                  0.995,                 0.5523,                 1.3499,                 1.9539,                0.97657,             0.00034891,             0.00034891,             0.00034891
